2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
142,Port St. Lucie,Florida,171016,164603,0.039,114.0æsqæmi,"1,444æperæsqæmi",27.2810ÁN 80.3838ÁW
143,Tempe,Arizona,168228,161719,0.0402,39.9æsqæmi,"4,050æperæsqæmi",33.3884ÁN 111.9318ÁW
144,Ontario,California,167500,163924,0.0218,49.9æsqæmi,"3,282æperæsqæmi",34.0395ÁN 117.6088ÁW
145,Vancouver,Washington,167405,161791,0.0347,46.5æsqæmi,"3,483æperæsqæmi",45.6372ÁN 122.5965ÁW
146,Cape Coral,Florida,165831,154305,0.0747,105.7æsqæmi,"1,460æperæsqæmi",26.6431ÁN 81.9973ÁW
147,Sioux Falls,South Dakota,164676,153888,0.0701,73.0æsqæmi,"2,109æperæsqæmi",43.5383ÁN 96.7320ÁW
148,Springfield,Missouri,164122,159498,0.029,81.7æsqæmi,"1,952æperæsqæmi",37.1942ÁN 93.2913ÁW
149,Peoria,Arizona,162592,154065,0.0553,174.4æsqæmi,883æperæsqæmi,33.7877ÁN 112.3111ÁW
150,Pembroke Pines,Florida,162329,154019,0.054,33.1æsqæmi,"4,672æperæsqæmi",26.0212ÁN 80.3404ÁW
151,Elk Grove,California,161007,153015,0.0522,42.2æsqæmi,"3,627æperæsqæmi",38.4144ÁN 121.3849ÁW
152,Salem,Oregon,160614,154637,0.0387,47.9æsqæmi,"3,229æperæsqæmi",44.9237ÁN 123.0231ÁW
153,Lancaster,California,159523,156633,0.0185,94.3æsqæmi,"1,661æperæsqæmi",34.6936ÁN 118.1753ÁW
154,Corona,California,159503,152374,0.0468,38.8æsqæmi,"3,925æperæsqæmi",33.8624ÁN 117.5639ÁW
155,Eugene,Oregon,159190,156185,0.0192,43.7æsqæmi,"3,572æperæsqæmi",44.0567ÁN 123.1162ÁW
156,Palmdale,California,157161,152750,0.0289,106.0æsqæmi,"1,442æperæsqæmi",34.5913ÁN 118.1090ÁW
157,Salinas,California,155662,150441,0.0347,23.2æsqæmi,"6,490æperæsqæmi",36.6902ÁN 121.6337ÁW
158,Springfield,Massachusetts,153703,153060,0.0042,31.9æsqæmi,"4,803æperæsqæmi",42.1155ÁN 72.5400ÁW
159,Pasadena,Texas,152735,149043,0.0248,42.8æsqæmi,"3,485æperæsqæmi",29.6583ÁN 95.1505ÁW
160,Fort Collins,Colorado,152061,143986,0.0561,54.3æsqæmi,"2,653æperæsqæmi",40.5482ÁN 105.0648ÁW
161,Hayward,California,151574,144186,0.0512,45.3æsqæmi,"3,181æperæsqæmi",37.6281ÁN 122.1063ÁW
162,Pomona,California,151348,149058,0.0154,23.0æsqæmi,"6,494æperæsqæmi",34.0586ÁN 117.7613ÁW
