"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"172","Bridgeport","Connecticut",147216,144229,"0.0207",160,9029,"41.1874¡N 73.1957¡W",411874,-731957
"173","Lakewood","Colorado",147214,142980,"0.0296",429,3334,"39.6989¡N 105.1176¡W",396989,-1051176
"174","Hollywood","Florida",146526,140768,"0.0409",274,5144,"26.0311¡N 80.1646¡W",260311,-801646
"175","Paterson","New Jersey",145948,146199,"-0.0017",84,17346,"40.9147¡N 74.1628¡W",409147,-741628
"176","Naperville","Illinois",144864,141853,"0.0212",388,3659,"41.7492¡N 88.1620¡W",417492,-881620
"177","Syracuse","New York",144669,145170,"-0.0035",250,5797,"43.0410¡N 76.1436¡W",430410,-761436
"178","Mesquite","Texas",143484,139824,"0.0262",460,3038,"32.7639¡N 96.5924¡W",327639,-965924
"179","Dayton","Ohio",143355,141527,"0.0129",557,2543,"39.7774¡N 84.1996¡W",397774,-841996
"180","Savannah","Georgia",142772,136286,"0.0476",1032,1321,"32.0025¡N 81.1536¡W",320025,-811536
"181","Clarksville","Tennessee",142357,132929,"0.0709",976,1362,"36.5664¡N 87.3452¡W",365664,-873452
"182","Orange","California",139969,136416,"0.026",248,5501,"33.8048¡N 117.8249¡W",338048,-1178249
"183","Pasadena","California",139731,137122,"0.019",230,5970,"34.1606¡N 118.1396¡W",341606,-1181396
"184","Fullerton","California",138981,135161,"0.0283",224,6047,"33.8857¡N 117.9280¡W",338857,-1179280
"185","Killeen","Texas",137147,127921,"0.0721",536,2387,"31.0777¡N 97.7320¡W",310777,-977320
"186","Frisco","Texas",136791,116989,"0.1693",618,1893,"33.1510¡N 96.8193¡W",331510,-968193
"187","Hampton","Virginia",136699,137436,"-0.0054",514,2673,"37.0480¡N 76.2971¡W",370480,-762971
"188","McAllen","Texas",136639,129877,"0.0521",483,2687,"26.2185¡N 98.2461¡W",262185,-982461
"189","Warren","Michigan",134873,134056,"0.0061",344,3899,"42.4929¡N 83.0250¡W",424929,-830250
"190","Bellevue","Washington",133992,122363,"0.095",320,3828,"47.5978¡N 122.1565¡W",475978,-1221565
"191","WestValleyCity","Utah",133579,129480,"0.0317",356,3642,"40.6885¡N 112.0118¡W",406885,-1120118
"192","Columbia","South Carolina",133358,129272,"0.0316",1322,978,"34.0298¡N 80.8966¡W",340298,-808966
"193","Olathe","Kansas",131885,125872,"0.0478",597,2110,"38.8843¡N 94.8188¡W",388843,-948188
"194","SterlingHeights","Michigan",131224,129699,"0.0118",365,3553,"42.5812¡N 83.0303¡W",425812,-830303
"195","NewHaven","Connecticut",130660,129779,"0.0068",187,6948,"41.3108¡N 72.9250¡W",413108,-729250
"196","Miramar","Florida",130288,122041,"0.0676",295,4134,"25.9770¡N 80.3358¡W",259770,-803358
"197","Waco","Texas",129030,124805,"0.0339",890,1403,"31.5601¡N 97.1860¡W",315601,-971860
"198","ThousandOaks","California",128731,126683,"0.0162",550,2302,"34.1933¡N 118.8742¡W",341933,-1188742
"199","CedarRapids","Iowa",128429,126326,"0.0166",708,1784,"41.9670¡N 91.6778¡W",419670,-916778
"200","Charleston","South Carolina",127999,120083,"0.0659",1090,1102,"32.8179¡N 79.9589¡W",328179,-799589
"201","Visalia","California",127763,124442,"0.0267",362,3433,"36.3272¡N 119.3234¡W",363272,-1193234
"202","Topeka","Kansas",127679,127473,"0.0016",602,2119,"39.0362¡N 95.6948¡W",390362,-956948
"203","Elizabeth","New Jersey",127558,124969,"0.0207",123,10144,"40.6663¡N 74.1935¡W",406663,-741935
"204","Gainesville","Florida",127488,124354,"0.0252",613,2028,"29.6788¡N 82.3459¡W",296788,-823459
"205","Thornton","Colorado",127359,118772,"0.0723",348,3409,"39.9180¡N 104.9454¡W",399180,-1049454
"206","Roseville","California",127035,118788,"0.0694",362,3279,"38.7657¡N 121.3032¡W",387657,-1213032
"207","Carrollton","Texas",126700,119097,"0.0638",363,3281,"32.9884¡N 96.8998¡W",329884,-968998
"208","CoralSprings","Florida",126604,121096,"0.0455",238,5090,"26.2708¡N 80.2593¡W",262708,-802593
